symptoms,disease
fever dry cough fatigue loss of taste headache,COVID-19
cough sneezing sore throat mild fever congestion,Common Cold
high fever chills sweating body ache nausea,Malaria
severe headache nausea vomiting sensitivity to light,Migraine
stomach pain nausea vomiting diarrhea cramps,Food Poisoning
chest pain shortness of breath sweating dizziness,Heart Attack
frequent urination increased thirst fatigue blurred vision,Diabetes
joint pain stiffness swelling redness warmth,Arthritis
fever rash red eyes joint pain body ache,Dengue
fever cough difficulty breathing chest tightness,Pneumonia
itching red rash swelling skin irritation,Allergy
persistent sadness fatigue insomnia loss of interest,Depression
anxiety restlessness rapid heartbeat sweating panic,Anxiety Disorder
back pain muscle stiffness limited movement,Back Pain
weight gain fatigue dry skin hair thinning,Hypothyroidism
weight loss rapid heartbeat sweating anxiety,Hyperthyroidism
abdominal pain bloating constipation diarrhea,IBS
ear pain hearing loss fluid discharge fever,Ear Infection
sore throat difficulty swallowing swollen glands fever,Tonsillitis
burning urination pelvic pain frequent urge fever,UTI
blurred vision eye pain headache nausea,Glaucoma
skin redness pus swelling warmth pain,Cellulitis
fatigue pale skin shortness of breath dizziness,Anemia
vomiting diarrhea dehydration stomach cramps,Gastroenteritis
high fever stiff neck confusion light sensitivity,Meningitis
runny nose sneezing itchy eyes congestion,Sinusitis
fatigue yellow skin dark urine abdominal pain,Hepatitis
weight loss chronic cough night sweats fever,Tuberculosis
wheezing shortness of breath chest tightness cough,Asthma
muscle weakness drooping eyelids fatigue,double vision
memory loss confusion difficulty speaking weakness,Stroke
leg swelling pain redness warmth,Deep Vein Thrombosis
hair loss brittle nails fatigue weight gain,Thyroid Disorder
dry cough chest discomfort mild fever fatigue,Bronchitis
rapid breathing chest pain dizziness fainting,Heart Failure
joint pain rash fever fatigue,Lupus
swollen lymph nodes fever night sweats fatigue,Lymphoma
itchy skin rash fever blisters,Chickenpox
fever cough blood in sputum weight loss,Lung Cancer
abdominal pain vomiting loss of appetite fever,Appendicitis